date,IssueComment
2015-12-17,140.73
2015-12-18,141.8
2015-12-19,132.33
2015-12-20,125.7
2015-12-21,126.37
2015-12-22,126.73
2015-12-23,122.5
2015-12-24,112.13
2015-12-25,107.83
2015-12-26,102.03
2015-12-27,98.1
2015-12-28,99.27
2015-12-29,100.87
2015-12-30,96.7
2015-12-31,92.07
2016-01-01,86.63
2016-01-02,81.97
2016-01-03,78.23
2016-01-04,81.2
2016-01-05,85.03
2016-01-06,83.9
2016-01-07,83.27
2016-01-08,82.57
2016-01-09,80.43
2016-01-10,77.63
2016-01-11,81.97
2016-01-12,85.67
2016-01-13,84.73
2016-01-14,83.23
2016-01-15,79.3
2016-01-16,76.1
2016-01-17,73.0
2016-01-18,72.8
2016-01-19,73.57
2016-01-20,71.47
2016-01-21,69.63
2016-01-22,68.73
2016-01-23,68.87
2016-01-24,68.9
2016-01-25,71.23
2016-01-26,78.07
2016-01-27,83.27
2016-01-28,86.23
2016-01-29,89.93
2016-01-30,90.97
2016-01-31,91.47
2016-02-01,95.17
2016-02-02,99.47
2016-02-03,99.1
2016-02-04,98.1
2016-02-05,98.53
2016-02-06,97.37
2016-02-07,94.5
2016-02-08,96.73
2016-02-09,101.7
2016-02-10,103.87
2016-02-11,103.87
2016-02-12,102.27
2016-02-13,99.03
2016-02-14,97.77
2016-02-15,99.2
2016-02-16,101.87
2016-02-17,101.57
2016-02-18,102.57
2016-02-19,102.3
2016-02-20,102.07
2016-02-21,101.2
2016-02-22,105.3
2016-02-23,109.67
2016-02-24,113.93
2016-02-25,112.5
2016-02-26,108.53
2016-02-27,104.23
2016-02-28,100.03
2016-02-29,105.67
2016-03-01,111.97
2016-03-02,113.0
2016-03-03,113.43
2016-03-04,113.77
2016-03-05,111.27
2016-03-06,108.43
2016-03-07,111.83
2016-03-08,121.9
2016-03-09,127.5
2016-03-10,128.3
2016-03-11,128.53
2016-03-12,126.73
2016-03-13,125.2
2016-03-14,136.1
2016-03-15,145.4
2016-03-16,152.9
2016-03-17,160.0
2016-03-18,162.97
2016-03-19,160.27
2016-03-20,158.93
2016-03-21,166.03
2016-03-22,169.87
2016-03-23,169.23
2016-03-24,169.3
2016-03-25,163.73
2016-03-26,159.37
2016-03-27,156.6
2016-03-28,157.6
2016-03-29,162.97
2016-03-30,161.03
2016-03-31,158.93
2016-04-01,158.77
2016-04-02,153.6
2016-04-03,150.4
2016-04-04,154.97
2016-04-05,160.03
2016-04-06,159.03
2016-04-07,154.27
2016-04-08,149.5
2016-04-09,144.43
2016-04-10,137.17
2016-04-11,138.5
2016-04-12,139.67
2016-04-13,132.77
2016-04-14,128.1
2016-04-15,127.6
2016-04-16,119.73
2016-04-17,117.2
2016-04-18,124.33
2016-04-19,128.7
2016-04-20,126.3
2016-04-21,130.27
2016-04-22,131.47
2016-04-23,129.0
2016-04-24,129.1
2016-04-25,133.1
2016-04-26,139.4
2016-04-27,144.57
2016-04-28,146.53
2016-04-29,148.53
2016-04-30,144.23
2016-05-01,139.97
2016-05-02,142.2
2016-05-03,143.5
2016-05-04,142.43
2016-05-05,138.37
2016-05-06,138.53
2016-05-07,133.3
2016-05-08,130.67
2016-05-09,135.0
2016-05-10,140.77
2016-05-11,140.5
2016-05-12,142.2
2016-05-13,140.3
2016-05-14,135.93
2016-05-15,127.43
2016-05-16,127.4
2016-05-17,129.3
2016-05-18,124.83
2016-05-19,122.37
2016-05-20,117.87
2016-05-21,108.67
2016-05-22,103.57
2016-05-23,108.67
2016-05-24,117.43
2016-05-25,122.03
2016-05-26,123.17
2016-05-27,122.13
2016-05-28,115.5
2016-05-29,108.87
2016-05-30,115.13
2016-05-31,120.43
2016-06-01,121.53
2016-06-02,124.7
2016-06-03,124.77
2016-06-04,123.7
2016-06-05,120.07
2016-06-06,125.57
2016-06-07,133.47
2016-06-08,135.57
2016-06-09,136.57
2016-06-10,139.17
2016-06-11,136.17
2016-06-12,134.3
2016-06-13,140.13
2016-06-14,145.63
2016-06-15,149.73
2016-06-16,153.07
2016-06-17,155.33
2016-06-18,152.87
2016-06-19,151.33
2016-06-20,155.47
2016-06-21,159.07
2016-06-22,160.37
2016-06-23,154.67
2016-06-24,149.57
2016-06-25,143.7
2016-06-26,139.13
2016-06-27,145.0
2016-06-28,155.33
2016-06-29,160.27
2016-06-30,162.4
2016-07-01,163.13
2016-07-02,160.0
2016-07-03,156.27
2016-07-04,163.17
2016-07-05,173.77
2016-07-06,175.47
2016-07-07,172.53
2016-07-08,180.57
2016-07-09,176.33
2016-07-10,172.07
2016-07-11,180.8
2016-07-12,189.4
2016-07-13,192.43
2016-07-14,194.13
2016-07-15,195.87
2016-07-16,189.47
2016-07-17,184.5
2016-07-18,186.77
2016-07-19,191.0
2016-07-20,192.17
2016-07-21,191.83
2016-07-22,187.7
2016-07-23,184.47
2016-07-24,180.5
2016-07-25,183.9
2016-07-26,189.3
2016-07-27,187.7
2016-07-28,182.5
2016-07-29,173.33
2016-07-30,166.33
2016-07-31,161.83
2016-08-01,161.53
2016-08-02,168.13
2016-08-03,166.53
2016-08-04,162.23
2016-08-05,162.23
2016-08-06,159.33
2016-08-07,144.97
2016-08-08,153.87
2016-08-09,160.37
2016-08-10,154.4
2016-08-11,148.93
2016-08-12,145.43
2016-08-13,138.37
2016-08-14,131.37
2016-08-15,139.33
2016-08-16,145.37
2016-08-17,147.87
2016-08-18,149.4
2016-08-19,147.6
2016-08-20,144.27
2016-08-21,140.4
2016-08-22,146.57
2016-08-23,152.07
2016-08-24,152.97
2016-08-25,153.8
2016-08-26,156.5
2016-08-27,152.4
2016-08-28,151.63
2016-08-29,160.67
2016-08-30,167.1
2016-08-31,177.33
2016-09-01,180.0
2016-09-02,181.0
2016-09-03,175.03
2016-09-04,168.53
2016-09-05,170.7
2016-09-06,176.87
2016-09-07,173.17
2016-09-08,173.63
2016-09-09,182.67
2016-09-10,180.67
2016-09-11,177.27
2016-09-12,185.17
2016-09-13,194.3
2016-09-14,192.77
2016-09-15,191.63
2016-09-16,191.97
2016-09-17,187.4
2016-09-18,186.53
2016-09-19,196.07
2016-09-20,205.93
2016-09-21,206.43
2016-09-22,210.2
2016-09-23,212.47
2016-09-24,207.37
2016-09-25,200.9
2016-09-26,209.3
2016-09-27,221.33
2016-09-28,229.6
2016-09-29,238.1
2016-09-30,231.9
2016-10-01,222.8
2016-10-02,216.3
2016-10-03,221.43
2016-10-04,226.77
2016-10-05,228.47
2016-10-06,226.73
2016-10-07,224.97
2016-10-08,217.7
2016-10-09,205.3
2016-10-10,210.7
2016-10-11,219.7
2016-10-12,219.7
2016-10-13,220.23
2016-10-14,224.23
2016-10-15,219.63
2016-10-16,216.3
2016-10-17,223.87
2016-10-18,227.27
2016-10-19,223.17
2016-10-20,220.03
2016-10-21,219.83
2016-10-22,212.7
2016-10-23,207.43
2016-10-24,215.8
2016-10-25,225.2
2016-10-26,228.5
2016-10-27,228.53
2016-10-28,218.4
2016-10-29,203.93
2016-10-30,199.5
2016-10-31,208.83
2016-11-01,214.27
2016-11-02,215.83
2016-11-03,218.17
2016-11-04,218.33
2016-11-05,215.3
2016-11-06,210.57
2016-11-07,221.8
2016-11-08,231.47
2016-11-09,230.43
2016-11-10,227.13
2016-11-11,226.4
2016-11-12,217.7
2016-11-13,206.4
2016-11-14,214.47
2016-11-15,221.03
2016-11-16,218.73
2016-11-17,220.97
2016-11-18,222.1
2016-11-19,216.47
2016-11-20,210.03
2016-11-21,213.0
2016-11-22,218.0
2016-11-23,215.33
2016-11-24,208.73
2016-11-25,200.6
2016-11-26,188.17
2016-11-27,181.37
2016-11-28,186.93
2016-11-29,193.73
2016-11-30,192.67
2016-12-01,193.87
2016-12-02,192.73
2016-12-03,185.67
2016-12-04,180.27
2016-12-05,186.53
2016-12-06,197.83
2016-12-07,201.07
2016-12-08,203.83
2016-12-09,204.5
2016-12-10,197.57
2016-12-11,190.37
2016-12-12,195.77
2016-12-13,202.17
2016-12-14,199.17
2016-12-15,198.17
2016-12-16,200.47
2016-12-17,195.53
2016-12-18,189.5
2016-12-19,195.87
2016-12-20,203.2
2016-12-21,203.77
2016-12-22,198.67
2016-12-23,193.3
2016-12-24,189.73
2016-12-25,186.13
2016-12-26,186.23
2016-12-27,187.4
2016-12-28,182.97
2016-12-29,177.13
2016-12-30,170.6
2016-12-31,165.27
